Date_Scrap,Power Station,Plant Name,Location,Latitude,Longitude,Confidence_Location,Unit name,Status,Fuel(s),Capacity (MW),Technology,Start year,Retired year,Owner,URL,
1/23/2024,Adani Godda power station,Adani Godda power station,"Motia, Godda, Godda, Jharkhand, India",24.814107,87.135465,exact,Unit 2,operating,coal - unknown,800,ultra-supercritical,2023,,Adani Power Ltd [100.0%],https://www.gem.wiki/Adani_Godda_power_station,
1/23/2024,Adani Godda power station,Adani Godda power station,"Motia, Godda, Godda, Jharkhand, India",24.814107,87.135465,exact,Unit 1,operating,coal - unknown,800,ultra-supercritical,2023,,Adani Power Ltd [100.0%],https://www.gem.wiki/Adani_Godda_power_station,
1/23/2024,Adani Raigarh Thermal Power Plant,Adani Raigarh Thermal Power Plant,"Kirodimalnagar, Raigarh, Raigarh, Chhattisgarh, India",21.743775,83.274093,exact,Unit 2,pre-permit,coal - bituminous,800,supercritical,,,Raigarh Energy Generation Ltd (KWPCL) [100.0%],https://www.gem.wiki/Adani_Raigarh_Thermal_Power_Plant,
1/23/2024,Adani Raigarh Thermal Power Plant,Adani Raigarh Thermal Power Plant,"Kirodimalnagar, Raigarh, Raigarh, Chhattisgarh, India",21.743775,83.274093,exact,Unit 3,pre-permit,coal - bituminous,800,supercritical,,,Raigarh Energy Generation Ltd (KWPCL) [100.0%],https://www.gem.wiki/Adani_Raigarh_Thermal_Power_Plant,
1/23/2024,Adani Raigarh Thermal Power Plant,Adani Raigarh Thermal Power Plant,"Kirodimalnagar, Raigarh, Raigarh, Chhattisgarh, India",21.743775,83.274093,exact,Unit 1,operating,coal - bituminous,600,subcritical,2014,,Raigarh Energy Generation Ltd (KWPCL) [100.0%],https://www.gem.wiki/Adani_Raigarh_Thermal_Power_Plant,
1/23/2024,Adilibad power station (Shalivahana Power Corp.),Adilibad power station (Shalivahana Power Corp.),"Achalapur, Adilabad, Telangana, India",19.159958,79.530837,approximate,Unit 1,cancelled,coal - unknown,300,unknown,,,Shalivahana Power Corp [100.0%],https://www.gem.wiki/Adilibad_power_station_(Shalivahana_Power_Corp.),
1/23/2024,Aditya Aluminium power station,Aditya Aluminium power station,"Lapanga, Rengali, Sambalpur, Odisha, India",21.740068,84.060592,exact,Unit 2,operating,coal - unknown,150,subcritical,2014,,Hindalco Industries Ltd (HIL) [100.0%],https://www.gem.wiki/Aditya_Aluminium_power_station,
1/23/2024,Aditya Aluminium power station,Aditya Aluminium power station,"Lapanga, Rengali, Sambalpur, Odisha, India",21.740068,84.060592,exact,Unit 3,operating,coal - unknown,150,subcritical,2014,,Hindalco Industries Ltd (HIL) [100.0%],https://www.gem.wiki/Aditya_Aluminium_power_station,
1/23/2024,Aditya Aluminium power station,Aditya Aluminium power station,"Lapanga, Rengali, Sambalpur, Odisha, India",21.740068,84.060592,exact,Unit 4,operating,coal - unknown,150,subcritical,2014,,Hindalco Industries Ltd (HIL) [100.0%],https://www.gem.wiki/Aditya_Aluminium_power_station,
1/23/2024,Aditya Aluminium power station,Aditya Aluminium power station,"Lapanga, Rengali, Sambalpur, Odisha, India",21.740068,84.060592,exact,Unit 5,operating,coal - unknown,150,subcritical,2014,,Hindalco Industries Ltd (HIL) [100.0%],https://www.gem.wiki/Aditya_Aluminium_power_station,
